quartos,banheiros,m2_interior,m2_espaco_completo,numero_andares,vista_orla,qualidade_design,m2_interior_15_vizinhos,tamanho_imovel_completo,ano_construcao_1,ano_construcao_2,ano_construcao_3,ano_construcao_4,ano_ultima_renovacao_0,ano_ultima_renovacao_1,ano_ultima_renovacao_2,ano_ultima_renovacao_3,qualidade_imovel_1.0,qualidade_imovel_2.0,qualidade_imovel_3.0,qualidade_imovel_4.0,qualidade_imovel_5.0,qualidade_vista_0.0,qualidade_vista_1.0,qualidade_vista_2.0,qualidade_vista_3.0,qualidade_vista_4.0,dia_da_semana_Friday,dia_da_semana_Monday,dia_da_semana_Saturday,dia_da_semana_Sunday,dia_da_semana_Thursday,dia_da_semana_Tuesday,dia_da_semana_Wednesday
1.0,0.25,1.5132743362831858,-0.02404702529390809,0.5,0.0,3.0,-0.2727272727272727,0.10693955001355382,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.0,-0.25,-0.04424778761061947,-0.5105094406840043,-0.5,0.0,1.0,0.375,0.8914339929520194,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,0.5,0.5663716814159292,0.06127538297114357,-0.5,0.0,1.0,0.75,0.6993765248034699,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1.0,0.0,0.23893805309734514,-0.14552903455646599,-0.5,0.0,0.0,-0.3181818181818182,0.02195716996476016,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.0,-0.75,-0.05309734513274336,9.501781261132882,-0.5,0.0,0.0,0.375,-0.734209812957441,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,-1.25,-0.5929203539823009,25.382971143569648,-0.5,0.0,0.0,1.3863636363636365,-0.7560314448359989,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,-0.75,-0.1415929203539823,-0.2613110081938012,0.0,0.0,0.0,-0.09090909090909091,-0.2809704526972079,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.45132743362831856,-0.0005343783398646241,0.0,0.0,1.0,-0.13636363636363635,-0.14909189482244511,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,-0.017699115044247787,0.03259707873174207,-0.5,0.0,1.0,-0.125,-0.31227975060992136,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.5,1.0707964601769913,0.23209832561453508,0.5,0.0,1.0,-0.4431818181818182,0.25033884521550553,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,0.0,-0.415929203539823,-0.6353758460990381,0.5,0.0,0.0,-0.20454545454545456,0.11981566820276503,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.25,0.4247787610619469,13.230317064481653,0.5,0.0,1.0,-0.5340909090909091,-0.7008674437516942,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,1.0,-0.17699115044247787,-1.0046312789454934,0.5,0.0,1.0,-0.13636363636363635,2.9545947411222553,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.5,0.0,0.6631635197719986,-0.5,0.0,0.0,0.1590909090909091,-0.41095147736513954,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.75,-0.6017699115044248,0.33541147132169574,-0.5,0.0,0.0,0.005681818181818182,-0.4280292762266196,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,-0.25,0.48672566371681414,-0.4519059494121838,0.0,0.0,-1.0,-0.8863636363636364,0.10558416915153167,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-1.25,-0.6283185840707964,0.06822230138938368,-0.5,0.0,-1.0,-0.4659090909090909,-0.42626728110599077,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1.0,-1.25,-1.0442477876106195,-0.04221588884930531,-0.5,0.0,-1.0,-0.38636363636363635,-0.40769856329628623,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,-1.25,-0.6814159292035398,0.07712860705379408,0.0,0.0,0.0,-0.5454545454545454,-0.5912171320140959,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,2.5,1.8141592920353982,0.3849305308158176,0.5,0.0,4.0,2.4204545454545454,2.3892653835727837,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.25,-0.17699115044247787,0.20270751692198077,-0.5,0.0,1.0,-0.13636363636363635,-0.3731363513147194,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.75,-0.588495575221239,-1.1120413252582828,1.5,0.0,0.0,-0.6056818181818182,2.2788018433179724,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2.0,-0.25,0.17699115044247787,-0.9292839330245815,-0.5,0.0,-1.0,-0.17045454545454544,1.234209812957441,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,0.25,-0.008849557522123894,10.437121482009262,0.5,0.0,0.0,0.5568181818181818,-0.7087286527514232,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-1.5,-1.2654867256637168,5.50106875667973,0.0,0.0,-2.0,-1.1818181818181819,-0.7460016264570344,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.5,-0.08849557522123894,-0.07534734592091201,-0.5,0.0,0.0,-0.4772727272727273,-0.3702900515044727,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,1.25,1.3716814159292035,0.17153544709654436,0.5,0.0,4.0,0.11363636363636363,1.4837354296557332,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,1.25,2.274336283185841,-0.32276451727823297,0.5,0.0,2.0,2.9204545454545454,0.8098400650582813,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.0,-1.25,-0.6194690265486725,0.42447452796579976,-0.5,0.0,0.0,0.18181818181818182,-0.35158579560856595,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
-1.0,0.25,-0.017699115044247787,-0.45457784111150695,0.5,0.0,1.0,-0.5568181818181818,0.5524532393602603,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,-0.5,0.49557522123893805,0.5676879230495191,-0.5,0.0,1.0,0.7272727272727273,-0.18419625914882076,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,-1.25,-0.11504424778761062,-0.42162451015318847,-0.5,0.0,0.0,-0.056818181818181816,0.75792897804283,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-1.25,-0.5929203539823009,0.21072319201995013,-0.5,0.0,0.0,-0.4090909090909091,-0.44456492274329085,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.0,-1.25,-0.7079646017699115,-0.18115425721410758,-0.5,0.0,0.0,-0.6136363636363636,0.3305773922472215,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,0.5,0.7699115044247787,-0.37228357677235485,0.5,0.0,1.0,0.8863636363636364,0.3866901599349417,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,-0.5,-0.36283185840707965,-0.18168863555397222,-0.5,0.0,-1.0,-0.4318181818181818,0.04350772567091354,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-1.25,-0.5309734513274337,0.33897399358745994,-0.5,0.0,0.0,-0.4318181818181818,-0.38031986988343724,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,-0.5,-0.13274336283185842,0.43872461702885646,-0.5,0.0,1.0,0.022727272727272728,-0.13323393873678502,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.75,-0.336283185840708,0.08781617385108657,-0.5,0.0,0.0,-0.625,-0.2548116020601789,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
