quartos,banheiros,m2_interior,m2_espaco_completo,numero_andares,vista_orla,qualidade_design,m2_interior_15_vizinhos,tamanho_imovel_completo,ano_construcao_1,ano_construcao_2,ano_construcao_3,ano_construcao_4,ano_ultima_renovacao_0,ano_ultima_renovacao_1,ano_ultima_renovacao_2,ano_ultima_renovacao_3,qualidade_imovel_1.0,qualidade_imovel_2.0,qualidade_imovel_3.0,qualidade_imovel_4.0,qualidade_imovel_5.0,qualidade_vista_0.0,qualidade_vista_1.0,qualidade_vista_2.0,qualidade_vista_3.0,qualidade_vista_4.0,dia_da_semana_Friday,dia_da_semana_Monday,dia_da_semana_Saturday,dia_da_semana_Sunday,dia_da_semana_Thursday,dia_da_semana_Tuesday,dia_da_semana_Wednesday
0.0,0.0,-0.07964601769911504,2.199501246882793,-0.5,0.0,1.0,-0.011363636363636364,-0.5069124423963134,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2.0,0.5,1.0884955752212389,-0.08870680441752761,0.5,0.0,2.0,-0.3181818181818182,0.762130658715099,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.5,-0.21238938053097345,-0.9292839330245815,-0.5,0.0,0.0,-0.45454545454545453,2.5387638926538356,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.5,-0.504424778761062,26.265764161026006,-0.5,0.0,0.0,-0.3181818181818182,-0.76524803469775,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2.0,-0.5,-0.2743362831858407,1.3589241182757392,-0.5,0.0,-1.0,-0.48863636363636365,-0.4494442938465708,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.25,-1.2212389380530972,-0.9114713216957606,-0.5,0.0,-2.0,-0.625,1.5052859853618867,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-1.0,-1.25,-0.8230088495575221,6.752939080869256,-0.5,0.0,0.0,-0.125,-0.7155055570615343,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0.0,-1.25,-0.4336283185840708,0.18222301389383683,-0.5,0.0,0.0,-0.4659090909090909,0.06560043372187589,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.25,0.1592920353982301,4.263092269326683,-0.5,0.0,1.0,0.022727272727272728,-0.6274058010300895,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1.0,-1.25,-0.911504424778761,0.10028500178126114,-0.5,0.0,0.0,-0.8068181818181818,-0.34250474383301704,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.25,0.7699115044247787,-0.3908086925543285,0.5,0.0,2.0,0.6931818181818182,0.9133911629167796,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,-0.2973451327433628,-0.8580334877092982,0.5,0.0,0.0,-0.2909090909090909,0.49362970994849553,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.25,1.2212389380530972,0.4690060562878518,-0.5,0.0,0.0,0.125,0.3978042830035241,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-1.0,-1.25,-0.8495575221238938,-0.1633416458852868,-0.5,0.0,0.0,-0.5568181818181818,0.000271076172404488,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,-0.75,-0.035398230088495575,-0.7333452084075526,-0.5,0.0,0.0,-0.17045454545454544,1.5440498780157226,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
-1.0,-1.25,-0.5663716814159292,-0.37709298183113643,-0.5,0.0,0.0,-0.6477272727272727,-0.2075088099756031,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-1.25,-0.8053097345132744,-0.041503384396152476,-0.5,0.0,-1.0,-0.9431818181818182,-0.3326104635402548,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0.0,-0.5,-0.48672566371681414,-0.31332383327395796,-0.5,0.0,0.0,-0.5,-0.20208728652751418,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,0.0,-0.08849557522123894,0.07855361596009976,-0.5,0.0,0.0,0.011363636363636364,-0.08403361344537809,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,-0.17699115044247787,0.3804773779836124,-0.5,0.0,0.0,-0.375,-0.43060449986446186,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1.0,0.0,0.5132743362831859,0.1572853580334877,0.5,0.0,1.0,0.7159090909090909,0.4129845486581729,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1.0,-0.5,0.0,0.33541147132169574,-0.5,0.0,0.0,-0.022727272727272728,-0.1126321496340471,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.25,0.9292035398230089,0.7780548628428927,-0.5,0.0,2.0,1.3068181818181819,-0.20520466251016536,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-1.0,-0.75,-0.7451327433628319,-1.131813323833274,0.5,0.0,0.0,-0.865909090909091,1.776633233938737,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.25,0.5752212389380531,0.33309583184894903,0.5,0.0,2.0,0.7386363636363636,0.0654648956356737,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,0.5,0.9646017699115044,-0.07427858924118276,0.5,0.0,2.0,1.3295454545454546,0.7823258335592301,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.0,-0.25,-0.39823008849557523,-0.10990381189882437,-0.5,0.0,1.0,-0.22727272727272727,-0.38262401734887497,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-1.25,-0.6106194690265486,0.3532240826505166,-0.5,0.0,0.0,-0.375,-0.24545947411222552,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,0.25,-0.4778761061946903,-1.1749198432490202,0.5,0.0,1.0,-0.45454545454545453,6.369612361073461,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,0.25,0.9230088495575222,-0.32418952618453867,0.5,0.0,2.0,0.9375,-0.039034968826240114,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-0.25,-0.3274336283185841,2.0201282508015677,0.0,0.0,0.0,0.0,-0.5914882081865004,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,-0.5,-0.035398230088495575,-0.6941574634841468,0.0,0.0,0.0,0.2840909090909091,2.334507996747086,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,-0.39823008849557523,0.18970431065194157,-0.5,0.0,0.0,-0.19318181818181818,-0.378964489021415,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,0.0,0.5309734513274337,-0.16512290701816887,0.5,0.0,1.0,0.17045454545454544,0.8927893738140418,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1.0,-0.25,-0.6283185840707964,0.6204132525828286,-0.5,0.0,0.0,-0.6363636363636364,-0.20872865275142313,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0.0,-1.25,-0.8053097345132744,-0.8117206982543641,0.0,0.0,-1.0,-0.5795454545454546,0.7293304418541611,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.0,0.25,0.6460176991150443,5.893836836480228,0.5,0.0,2.0,0.8068181818181818,-0.5424234209812957,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,0.25,-0.06017699115044248,-0.6442821517634485,0.5,0.0,0.0,0.7215909090909091,0.21387910002710764,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.0,-1.25,-0.2831858407079646,-0.2965799786248664,-0.5,0.0,0.0,-0.4318181818181818,-0.04960693955001351,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1.0,-0.5,-0.035398230088495575,-0.055931599572497326,-0.5,0.0,0.0,-0.14772727272727273,-0.013824884792626673,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.0,-1.25,-0.5132743362831859,-0.06359102244389027,0.0,0.0,-1.0,-0.7159090909090909,-0.42558959067497965,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.0,0.5,0.20353982300884957,0.39241182757392234,-0.5,0.0,1.0,0.25,-0.15017619951206287,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
